TrueDistance,PredictedDistance,RSSI,Class
0.20,0.35,-37.65,Near
0.20,0.35,-37.66,Near
0.20,0.35,-37.67,Near
0.20,0.34,-37.53,Near
0.20,0.34,-37.63,Near
0.20,0.34,-37.52,Near
0.20,0.34,-37.42,Near
0.20,0.34,-37.52,Near
0.20,0.34,-37.58,Near
0.20,0.34,-37.48,Near
0.20,0.34,-37.58,Near
0.20,0.34,-37.48,Near
0.20,0.34,-37.58,Near
0.20,0.34,-37.55,Near
0.20,0.34,-37.45,Near
0.20,0.33,-37.31,Near
0.20,0.34,-37.42,Near
0.20,0.34,-37.48,Near
0.20,0.34,-37.39,Near
0.20,0.34,-37.49,Near
0.20,0.34,-37.51,Near
0.20,0.34,-37.41,Near
0.20,0.34,-37.51,Near
0.20,0.34,-37.61,Near
0.20,0.34,-37.63,Near
0.20,0.34,-37.56,Near
0.20,0.35,-37.66,Near
0.20,0.34,-37.63,Near
0.20,0.34,-37.53,Near
0.20,0.34,-37.43,Near
0.20,0.34,-37.57,Near
0.20,0.34,-37.59,Near
0.20,0.34,-37.48,Near
0.20,0.34,-37.50,Near
0.20,0.34,-37.40,Near
0.20,0.34,-37.51,Near
0.20,0.34,-37.61,Near
0.20,0.34,-37.62,Near
0.20,0.34,-37.48,Near
0.20,0.34,-37.58,Near
0.20,0.34,-37.60,Near
0.20,0.34,-37.61,Near
0.20,0.34,-37.51,Near
0.20,0.34,-37.61,Near
0.20,0.34,-37.62,Near
0.20,0.34,-37.52,Near
0.20,0.34,-37.62,Near
0.20,0.35,-37.67,Near
0.30,0.27,-35.01,Near
0.30,0.27,-35.05,Near
0.30,0.27,-35.09,Near
0.30,0.27,-35.01,Near
0.30,0.27,-35.05,Near
0.30,0.27,-35.09,Near
0.30,0.27,-35.12,Near
0.30,0.27,-35.08,Near
0.30,0.28,-35.15,Near
0.30,0.28,-35.19,Near
0.30,0.27,-35.10,Near
0.30,0.27,-35.02,Near
0.30,0.27,-35.10,Near
0.30,0.27,-35.13,Near
0.30,0.27,-35.09,Near
0.30,0.28,-35.16,Near
0.30,0.28,-35.20,Near
0.30,0.28,-35.23,Near
0.30,0.27,-35.14,Near
0.30,0.28,-35.17,Near
0.30,0.28,-35.21,Near
0.30,0.28,-35.24,Near
0.30,0.28,-35.27,Near
0.30,0.28,-35.30,Near
0.30,0.28,-35.21,Near
0.30,0.27,-35.12,Near
0.30,0.28,-35.15,Near
0.30,0.28,-35.19,Near
0.30,0.28,-35.22,Near
0.30,0.28,-35.25,Near
0.30,0.28,-35.16,Near
0.30,0.28,-35.19,Near
0.30,0.27,-35.11,Near
0.30,0.27,-35.02,Near
0.30,0.27,-34.94,Near
0.30,0.27,-34.98,Near
0.30,0.27,-35.02,Near
0.30,0.27,-35.06,Near
0.30,0.27,-34.98,Near
0.30,0.27,-35.06,Near
0.30,0.27,-35.10,Near
0.30,0.27,-35.02,Near
0.30,0.27,-34.94,Near
0.30,0.27,-34.98,Near
0.30,0.27,-35.02,Near
0.30,0.27,-34.94,Near
0.30,0.27,-35.02,Near
0.30,0.27,-35.06,Near
0.30,0.27,-35.02,Near
0.30,0.27,-35.10,Near
0.30,0.27,-35.13,Near
0.30,0.27,-35.05,Near
0.30,0.27,-35.05,Near
0.30,0.27,-34.96,Near
0.30,0.27,-35.04,Near
0.30,0.27,-35.08,Near
0.30,0.27,-35.00,Near
0.30,0.27,-34.96,Near
0.30,0.27,-35.04,Near
0.30,0.27,-35.08,Near
0.30,0.27,-35.00,Near
0.30,0.27,-35.08,Near
0.30,0.27,-35.11,Near
0.30,0.28,-35.15,Near
0.30,0.27,-35.06,Near
0.30,0.27,-35.14,Near
0.30,0.28,-35.17,Near
0.30,0.27,-35.09,Near
0.30,0.27,-35.12,Near
0.30,0.28,-35.16,Near
0.30,0.27,-35.07,Near
0.30,0.27,-34.99,Near
0.30,0.27,-35.07,Near
0.30,0.27,-35.11,Near
0.30,0.28,-35.18,Near
0.30,0.28,-35.26,Near
0.30,0.28,-35.29,Near
0.30,0.28,-35.19,Near
0.30,0.28,-35.27,Near
0.30,0.28,-35.30,Near
0.30,0.28,-35.32,Near
0.30,0.28,-35.23,Near
0.30,0.28,-35.26,Near
0.30,0.28,-35.29,Near
0.30,0.28,-35.24,Near
0.30,0.28,-35.31,Near
0.30,0.28,-35.34,Near
0.30,0.28,-35.28,Near
0.30,0.28,-35.31,Near
0.30,0.28,-35.22,Near
0.30,0.28,-35.29,Near
0.30,0.28,-35.32,Near
0.30,0.28,-35.27,Near
0.30,0.28,-35.30,Near
0.30,0.28,-35.32,Near
0.30,0.28,-35.23,Near
0.30,0.27,-35.14,Near
0.30,0.27,-35.14,Near
0.30,0.27,-35.09,Near
0.30,0.27,-35.13,Near
0.40,0.28,-35.49,Near
0.40,0.28,-35.39,Near
0.40,0.28,-35.49,Near
0.40,0.28,-35.39,Near
0.40,0.28,-35.50,Near
0.40,0.29,-35.56,Near
0.40,0.29,-35.57,Near
0.40,0.28,-35.51,Near
0.40,0.29,-35.61,Near
0.40,0.29,-35.63,Near
0.40,0.29,-35.64,Near
0.40,0.28,-35.54,Near
0.40,0.29,-35.59,Near
0.40,0.29,-35.61,Near
0.40,0.28,-35.51,Near
0.40,0.28,-35.41,Near
0.40,0.28,-35.51,Near
0.40,0.29,-35.57,Near
0.40,0.28,-35.47,Near
0.40,0.29,-35.57,Near
0.40,0.29,-35.59,Near
0.40,0.28,-35.48,Near
0.40,0.29,-35.58,Near
0.40,0.29,-35.60,Near
0.40,0.28,-35.50,Near
0.40,0.28,-35.40,Near
0.40,0.28,-35.50,Near
0.40,0.28,-35.52,Near
0.40,0.28,-35.46,Near
0.40,0.28,-35.48,Near
0.40,0.29,-35.58,Near
0.40,0.29,-35.60,Near
0.40,0.28,-35.49,Near
0.40,0.29,-35.55,Near
0.40,0.29,-35.57,Near
0.40,0.28,-35.47,Near
0.40,0.28,-35.53,Near
0.40,0.29,-35.55,Near
0.40,0.28,-35.45,Near
0.40,0.28,-35.35,Near
0.40,0.28,-35.46,Near
0.40,0.28,-35.48,Near
0.40,0.28,-35.42,Near
0.40,0.28,-35.52,Near
0.40,0.29,-35.58,Near
0.40,0.29,-35.60,Near
0.40,0.28,-35.49,Near
0.40,0.29,-35.59,Near
0.40,0.29,-35.65,Near
0.40,0.29,-35.66,Near
0.40,0.29,-35.76,Near
0.40,0.29,-35.77,Near
0.40,0.29,-35.66,Near
0.40,0.29,-35.55,Near
0.40,0.29,-35.61,Near
0.40,0.29,-35.62,Near
0.40,0.28,-35.52,Near
0.40,0.29,-35.62,Near
0.40,0.29,-35.71,Near
0.40,0.29,-35.72,Near
0.40,0.29,-35.62,Near
0.40,0.29,-35.71,Near
0.40,0.29,-35.72,Near
0.40,0.29,-35.77,Near
0.40,0.29,-35.70,Near
0.40,0.29,-35.79,Near
0.40,0.29,-35.80,Near
0.40,0.29,-35.69,Near
0.40,0.29,-35.62,Near
0.40,0.29,-35.64,Near
0.40,0.29,-35.57,Near
0.40,0.29,-35.67,Near
0.40,0.29,-35.72,Near
0.40,0.29,-35.77,Near
0.40,0.29,-35.66,Near
0.40,0.29,-35.76,Near
0.40,0.29,-35.77,Near
0.40,0.29,-35.66,Near
0.40,0.29,-35.75,Near
0.40,0.29,-35.64,Near
0.40,0.28,-35.49,Near
0.40,0.29,-35.59,Near
0.40,0.29,-35.61,Near
0.40,0.28,-35.51,Near
0.40,0.28,-35.53,Near
0.40,0.28,-35.43,Near
0.40,0.28,-35.53,Near
0.40,0.28,-35.43,Near
0.40,0.28,-35.49,Near
0.40,0.28,-35.51,Near
0.40,0.28,-35.41,Near
0.40,0.28,-35.31,Near
0.40,0.28,-35.42,Near
0.40,0.28,-35.44,Near
0.40,0.28,-35.35,Near
0.40,0.28,-35.45,Near
0.40,0.29,-35.55,Near
0.40,0.29,-35.61,Near
0.40,0.28,-35.51,Near
0.40,0.29,-35.61,Near
0.50,0.32,-36.79,Near
0.50,0.32,-36.80,Near
0.50,0.32,-36.77,Near
0.50,0.32,-36.69,Near
0.50,0.32,-36.71,Near
0.50,0.32,-36.72,Near
0.50,0.32,-36.65,Near
0.50,0.32,-36.66,Near
0.50,0.32,-36.68,Near
0.50,0.32,-36.69,Near
0.50,0.31,-36.62,Near
0.50,0.31,-36.64,Near
0.50,0.32,-36.65,Near
0.50,0.31,-36.63,Near
0.50,0.31,-36.64,Near
0.50,0.32,-36.74,Near
0.50,0.32,-36.75,Near
0.50,0.32,-36.72,Near
0.50,0.32,-36.73,Near
0.50,0.32,-36.74,Near
0.50,0.32,-36.67,Near
0.50,0.32,-36.68,Near
0.50,0.31,-36.61,Near
0.50,0.31,-36.63,Near
0.50,0.32,-36.65,Near
0.50,0.31,-36.58,Near
0.50,0.31,-36.60,Near
0.50,0.32,-36.65,Near
0.50,0.31,-36.63,Near
0.50,0.31,-36.64,Near
0.50,0.32,-36.66,Near
0.50,0.32,-36.67,Near
0.50,0.32,-36.68,Near
0.50,0.32,-36.66,Near
0.50,0.32,-36.67,Near
0.50,0.32,-36.76,Near
0.50,0.32,-36.81,Near
0.50,0.32,-36.78,Near
0.50,0.32,-36.79,Near
0.50,0.32,-36.80,Near
0.50,0.32,-36.76,Near
0.50,0.32,-36.73,Near
0.50,0.32,-36.74,Near
0.50,0.32,-36.71,Near
0.50,0.32,-36.65,Near
0.50,0.32,-36.66,Near
0.50,0.32,-36.75,Near
0.50,0.32,-36.72,Near
0.50,0.32,-36.73,Near
0.50,0.32,-36.75,Near
0.50,0.32,-36.76,Near
0.50,0.32,-36.73,Near
0.50,0.32,-36.74,Near
0.50,0.32,-36.79,Near
0.50,0.32,-36.76,Near
0.50,0.32,-36.81,Near
0.50,0.32,-36.85,Near
0.50,0.32,-36.86,Near
0.50,0.32,-36.86,Near
0.50,0.32,-36.91,Near
0.50,0.32,-36.83,Near
0.50,0.32,-36.76,Near
0.50,0.32,-36.77,Near
0.50,0.32,-36.78,Near
0.50,0.32,-36.75,Near
0.50,0.32,-36.76,Near
0.50,0.32,-36.69,Near
0.50,0.32,-36.70,Near
0.50,0.32,-36.71,Near
0.50,0.32,-36.76,Near
0.50,0.32,-36.77,Near
0.50,0.32,-36.78,Near
0.50,0.32,-36.75,Near
0.50,0.32,-36.72,Near
0.50,0.32,-36.73,Near
0.50,0.32,-36.78,Near
0.50,0.32,-36.75,Near
0.50,0.32,-36.76,Near
0.50,0.32,-36.77,Near
0.50,0.32,-36.82,Near
0.50,0.32,-36.79,Near
0.50,0.32,-36.80,Near
0.50,0.32,-36.84,Near
0.50,0.32,-36.81,Near
0.50,0.32,-36.78,Near
0.50,0.32,-36.87,Near
0.50,0.32,-36.91,Near
0.50,0.32,-36.88,Near
0.50,0.32,-36.88,Near
0.50,0.32,-36.89,Near
0.50,0.32,-36.85,Near
0.50,0.32,-36.94,Near
0.50,0.32,-36.94,Near
0.50,0.32,-36.98,Near
0.50,0.32,-36.90,Near
0.50,0.32,-36.91,Near
0.50,0.32,-36.91,Near
0.50,0.32,-36.87,Near
0.50,0.32,-36.84,Near
0.50,0.32,-36.84,Near
0.60,0.42,-39.80,Near
0.60,0.42,-39.84,Near
0.60,0.42,-39.81,Near
0.60,0.42,-39.78,Near
0.60,0.42,-39.75,Near
0.60,0.42,-39.72,Near
0.60,0.42,-39.69,Near
0.60,0.42,-39.74,Near
0.60,0.42,-39.71,Near
0.60,0.41,-39.68,Near
0.60,0.42,-39.69,Near
0.60,0.42,-39.75,Near
0.60,0.42,-39.72,Near
0.60,0.42,-39.69,Near
0.60,0.42,-39.74,Near
0.60,0.42,-39.79,Near
0.60,0.42,-39.76,Near
0.60,0.42,-39.77,Near
0.60,0.42,-39.82,Near
0.60,0.42,-39.79,Near
0.60,0.42,-39.75,Near
0.60,0.42,-39.72,Near
0.60,0.42,-39.78,Near
0.60,0.42,-39.74,Near
0.60,0.42,-39.71,Near
0.60,0.42,-39.77,Near
0.60,0.42,-39.74,Near
0.60,0.42,-39.71,Near
0.60,0.42,-39.76,Near
0.60,0.42,-39.73,Near
0.60,0.42,-39.74,Near
0.60,0.42,-39.71,Near
0.60,0.41,-39.68,Near
0.60,0.41,-39.65,Near
0.60,0.42,-39.71,Near
0.60,0.41,-39.68,Near
0.60,0.41,-39.65,Near
0.60,0.41,-39.67,Near
0.60,0.42,-39.72,Near
0.60,0.42,-39.69,Near
0.60,0.41,-39.66,Near
0.60,0.42,-39.72,Near
0.60,0.42,-39.81,Near
0.60,0.42,-39.78,Near
0.60,0.42,-39.74,Near
0.60,0.42,-39.79,Near
0.60,0.42,-39.76,Near
0.60,0.42,-39.73,Near
0.60,0.42,-39.70,Near
0.60,0.42,-39.75,Near
0.60,0.42,-39.72,Near
0.60,0.42,-39.74,Near
0.60,0.42,-39.75,Near
0.60,0.42,-39.80,Near
0.60,0.42,-39.76,Near
0.60,0.42,-39.77,Near
0.60,0.42,-39.82,Near
0.60,0.42,-39.79,Near
0.60,0.42,-39.76,Near
0.60,0.42,-39.81,Near
0.60,0.42,-39.78,Near
0.60,0.42,-39.74,Near
0.60,0.42,-39.71,Near
0.60,0.42,-39.77,Near
0.60,0.42,-39.74,Near
0.60,0.42,-39.71,Near
0.60,0.42,-39.76,Near
0.60,0.42,-39.73,Near
0.60,0.42,-39.70,Near
0.60,0.42,-39.75,Near
0.60,0.42,-39.72,Near
0.60,0.42,-39.69,Near
0.60,0.42,-39.74,Near
0.60,0.42,-39.71,Near
0.60,0.42,-39.69,Near
0.60,0.41,-39.66,Near
0.60,0.41,-39.63,Near
0.60,0.41,-39.61,Near
0.60,0.42,-39.70,Near
0.60,0.41,-39.67,Near
0.60,0.41,-39.65,Near
0.60,0.42,-39.70,Near
0.60,0.42,-39.75,Near
0.60,0.42,-39.72,Near
0.60,0.42,-39.77,Near
0.60,0.42,-39.74,Near
0.60,0.42,-39.71,Near
0.60,0.42,-39.69,Near
0.60,0.42,-39.74,Near
0.60,0.42,-39.71,Near
0.60,0.41,-39.68,Near
0.60,0.42,-39.73,Near
0.60,0.42,-39.74,Near
0.60,0.42,-39.71,Near
0.60,0.42,-39.77,Near
0.60,0.42,-39.73,Near
0.60,0.42,-39.79,Near
0.60,0.42,-39.75,Near
0.60,0.42,-39.72,Near
0.60,0.42,-39.69,Near
0.70,0.43,-40.07,Near
0.70,0.43,-40.03,Near
0.70,0.43,-40.03,Near
0.70,0.43,-40.07,Near
0.70,0.43,-40.03,Near
0.70,0.43,-39.98,Near
0.70,0.43,-39.98,Near
0.70,0.42,-39.91,Near
0.70,0.42,-39.91,Near
0.70,0.42,-39.87,Near
0.70,0.42,-39.92,Near
0.70,0.42,-39.84,Near
0.70,0.42,-39.85,Near
0.70,0.42,-39.89,Near
0.70,0.42,-39.82,Near
0.70,0.42,-39.83,Near
0.70,0.42,-39.87,Near
0.70,0.42,-39.84,Near
0.70,0.42,-39.84,Near
0.70,0.42,-39.85,Near
0.70,0.42,-39.90,Near
0.70,0.42,-39.86,Near
0.70,0.42,-39.87,Near
0.70,0.42,-39.91,Near
0.70,0.42,-39.87,Near
0.70,0.42,-39.88,Near
0.70,0.42,-39.92,Near
0.70,0.42,-39.89,Near
0.70,0.42,-39.81,Near
0.70,0.42,-39.82,Near
0.70,0.42,-39.87,Near
0.70,0.42,-39.83,Near
0.70,0.42,-39.84,Near
0.70,0.42,-39.89,Near
0.70,0.43,-39.97,Near
0.70,0.42,-39.93,Near
0.70,0.42,-39.89,Near
0.70,0.43,-39.98,Near
0.70,0.42,-39.94,Near
0.70,0.43,-40.02,Near
0.70,0.42,-39.94,Near
0.70,0.42,-39.90,Near
0.70,0.42,-39.91,Near
0.70,0.42,-39.95,Near
0.70,0.42,-39.91,Near
0.70,0.42,-39.88,Near
0.70,0.42,-39.92,Near
0.70,0.42,-39.84,Near
0.70,0.42,-39.85,Near
0.70,0.42,-39.94,Near
0.70,0.43,-39.98,Near
0.70,0.42,-39.94,Near
0.70,0.42,-39.94,Near
0.70,0.43,-39.98,Near
0.70,0.42,-39.95,Near
0.70,0.42,-39.91,Near
0.70,0.42,-39.87,Near
0.70,0.42,-39.92,Near
0.70,0.42,-39.92,Near
0.70,0.42,-39.88,Near
0.70,0.42,-39.85,Near
0.70,0.42,-39.89,Near
0.70,0.42,-39.86,Near
0.70,0.42,-39.86,Near
0.70,0.42,-39.91,Near
0.70,0.42,-39.95,Near
0.70,0.42,-39.91,Near
0.70,0.42,-39.92,Near
0.70,0.43,-39.96,Near
0.70,0.42,-39.92,Near
0.70,0.42,-39.85,Near
0.70,0.42,-39.85,Near
0.70,0.42,-39.90,Near
0.70,0.42,-39.86,Near
0.70,0.42,-39.87,Near
0.70,0.42,-39.79,Near
0.70,0.42,-39.80,Near
0.70,0.42,-39.85,Near
0.70,0.42,-39.90,Near
0.70,0.42,-39.86,Near
0.70,0.42,-39.86,Near
0.70,0.42,-39.91,Near
0.70,0.42,-39.87,Near
0.70,0.42,-39.84,Near
0.70,0.42,-39.85,Near
0.70,0.42,-39.89,Near
0.70,0.42,-39.86,Near
0.70,0.42,-39.86,Near
0.70,0.42,-39.91,Near
0.70,0.42,-39.87,Near
0.70,0.42,-39.88,Near
0.70,0.42,-39.84,Near
0.70,0.42,-39.81,Near
0.70,0.42,-39.82,Near
0.70,0.42,-39.86,Near
0.70,0.42,-39.87,Near
0.70,0.42,-39.95,Near
0.70,0.42,-39.88,Near
0.70,0.42,-39.88,Near
0.70,0.42,-39.92,Near
0.80,0.50,-41.76,Near
0.80,0.50,-41.73,Near
0.80,0.49,-41.62,Near
0.80,0.49,-41.56,Near
0.80,0.49,-41.46,Near
0.80,0.48,-41.36,Near
0.80,0.49,-41.50,Near
0.80,0.49,-41.48,Near
0.80,0.48,-41.39,Near
0.80,0.49,-41.53,Near
0.80,0.49,-41.51,Near
0.80,0.49,-41.41,Near
0.80,0.49,-41.59,Near
0.80,0.50,-41.73,Near
0.80,0.50,-41.70,Near
0.80,0.49,-41.59,Near
0.80,0.50,-41.73,Near
0.80,0.50,-41.70,Near
0.80,0.50,-41.67,Near
0.80,0.50,-41.80,Near
0.80,0.50,-41.77,Near
0.80,0.50,-41.66,Near
0.80,0.50,-41.83,Near
0.80,0.50,-41.80,Near
0.80,0.50,-41.69,Near
0.80,0.50,-41.66,Near
0.80,0.49,-41.63,Near
0.80,0.49,-41.53,Near
0.80,0.50,-41.67,Near
0.80,0.50,-41.64,Near
0.80,0.49,-41.54,Near
0.80,0.49,-41.63,Near
0.80,0.49,-41.57,Near
0.80,0.49,-41.47,Near
0.80,0.50,-41.65,Near
0.80,0.50,-41.74,Near
0.80,0.50,-41.71,Near
0.80,0.49,-41.60,Near
0.80,0.50,-41.70,Near
0.80,0.49,-41.63,Near
0.80,0.49,-41.57,Near
0.80,0.50,-41.70,Near
0.80,0.50,-41.68,Near
0.80,0.49,-41.57,Near
0.80,0.50,-41.75,Near
0.80,0.51,-41.88,Near
0.80,0.50,-41.84,Near
0.80,0.50,-41.77,Near
0.80,0.51,-41.90,Near
0.80,0.51,-42.06,Near
0.80,0.51,-42.02,Near
0.80,0.51,-41.90,Near
0.80,0.51,-42.02,Near
0.80,0.51,-41.94,Near
0.80,0.50,-41.82,Near
0.80,0.50,-41.71,Near
0.80,0.51,-41.88,Near
0.80,0.50,-41.85,Near
0.80,0.50,-41.73,Near
0.80,0.49,-41.62,Near
0.80,0.49,-41.60,Near
0.80,0.49,-41.49,Near
0.80,0.50,-41.67,Near
0.80,0.50,-41.85,Near
0.80,0.50,-41.81,Near
0.80,0.50,-41.70,Near
0.80,0.51,-41.87,Near
0.80,0.50,-41.84,Near
0.80,0.50,-41.72,Near
0.80,0.51,-41.86,Near
0.80,0.50,-41.82,Near
0.80,0.50,-41.71,Near
0.80,0.50,-41.80,Near
0.80,0.51,-41.89,Near
0.80,0.50,-41.85,Near
0.80,0.50,-41.74,Near
0.80,0.51,-41.91,Near
0.80,0.50,-41.83,Near
0.80,0.50,-41.80,Near
0.80,0.50,-41.69,Near
0.80,0.51,-41.86,Near
0.80,0.50,-41.83,Near
0.80,0.50,-41.71,Near
0.80,0.49,-41.60,Near
0.80,0.50,-41.78,Near
0.80,0.50,-41.75,Near
0.80,0.50,-41.64,Near
0.80,0.50,-41.73,Near
0.80,0.50,-41.66,Near
0.80,0.49,-41.56,Near
0.80,0.50,-41.70,Near
0.80,0.50,-41.67,Near
0.80,0.50,-41.64,Near
0.80,0.50,-41.81,Near
0.80,0.50,-41.78,Near
0.80,0.50,-41.67,Near
0.80,0.49,-41.60,Near
0.80,0.50,-41.78,Near
0.80,0.50,-41.75,Near
0.80,0.50,-41.64,Near
0.90,0.65,-44.68,Near
0.90,0.65,-44.61,Near
0.90,0.65,-44.63,Near
0.90,0.65,-44.68,Near
0.90,0.65,-44.58,Near
0.90,0.64,-44.51,Near
0.90,0.64,-44.53,Near
0.90,0.65,-44.59,Near
0.90,0.64,-44.53,Near
0.90,0.64,-44.51,Near
0.90,0.65,-44.57,Near
0.90,0.65,-44.62,Near
0.90,0.65,-44.56,Near
0.90,0.65,-44.58,Near
0.90,0.65,-44.63,Near
0.90,0.65,-44.69,Near
0.90,0.65,-44.62,Near
0.90,0.65,-44.60,Near
0.90,0.65,-44.65,Near
0.90,0.65,-44.59,Near
0.90,0.65,-44.60,Near
0.90,0.65,-44.58,Near
0.90,0.65,-44.64,Near
0.90,0.65,-44.57,Near
0.90,0.65,-44.59,Near
0.90,0.65,-44.64,Near
0.90,0.65,-44.70,Near
0.90,0.65,-44.63,Near
0.90,0.65,-44.64,Near
0.90,0.65,-44.70,Near
0.90,0.65,-44.63,Near
0.90,0.65,-44.57,Near
0.90,0.64,-44.54,Near
0.90,0.65,-44.60,Near
0.90,0.64,-44.54,Near
0.90,0.65,-44.56,Near
0.90,0.65,-44.61,Near
0.90,0.65,-44.67,Near
0.90,0.65,-44.56,Near
0.90,0.65,-44.62,Near
0.90,0.65,-44.67,Near
0.90,0.65,-44.61,Near
0.90,0.65,-44.62,Near
0.90,0.65,-44.68,Near
0.90,0.65,-44.61,Near
0.90,0.64,-44.55,Near
0.90,0.65,-44.57,Near
0.90,0.65,-44.62,Near
0.90,0.65,-44.60,Near
0.90,0.65,-44.57,Near
0.90,0.65,-44.63,Near
0.90,0.65,-44.57,Near
0.90,0.65,-44.58,Near
0.90,0.65,-44.64,Near
0.90,0.65,-44.57,Near
0.90,0.65,-44.59,Near
0.90,0.65,-44.65,Near
0.90,0.65,-44.58,Near
0.90,0.64,-44.52,Near
0.90,0.65,-44.58,Near
0.90,0.64,-44.51,Near
0.90,0.64,-44.53,Near
0.90,0.64,-44.55,Near
0.90,0.65,-44.61,Near
0.90,0.65,-44.63,Near
0.90,0.65,-44.68,Near
0.90,0.66,-44.73,Near
0.90,0.65,-44.66,Near
0.90,0.65,-44.64,Near
0.90,0.65,-44.69,Near
0.90,0.65,-44.62,Near
0.90,0.65,-44.60,Near
